Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Riverview Animal Clinic PC,(205) 991-9580,,http://riverviewanimalclinic.net,4640 Highway 280,Birmingham,AL,35242,,,,,"['Mo 07:00-18:00', 'Tu 07:00-21:00', 'We 07:00-18:00', 'Th 07:00-21:00', 'Fr 07:00-18:00', 'Sa 07:00-17:00', 'Su 13:00-18:00']",4,5,67 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/riverview-animal-clinic-pc-720561,"The old Motel for Pets was built in 1956 by Dr. Jack Baker. It operated as a boarding facility until 1984, when Dr. Arthur Serwitz purchased and renovated it to accommodate a veterinary clinic, the Riverview Animal Clinic. Over the years, the facility has undergone several small renovations and two major additions. The last addition and renovation, which was finished in July 1996, doubled the space of the previous facility. The clinic has reorganized its boarding facility to separate dogs and cats completely, while maintaining a comfortable capacity of about 200 animals that might stay there on a holiday weekend or popular vacation time. Its grooming facility has been increased and renovated to accommodate he new demands. The clinic has significantly increased its hospital space, going from three to seven exam rooms and enlarged its treatment area. It added an additional surgery suite, a separate cat hospital ward and an exotic animal ward. It also added an intensive care unit. Services include preventative health care, boarding, pet food and supplies, diagnostic testing, senior animal health care, emergency services, hospitalization, behavior counseling and treatment, surgery, grooming and dental care. The Riverview Animal Clinic is located in Birmingham, Ala."
Trussville Main Street Animal Clinic,(205) 655-0065,trussvillemsac@gmail.com,https://trussvillemsac.com,1921 Gadsden Hwy,Birmingham,AL,35235,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-14:00', 'Su 16:00-17:00']",5,1,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/trussville-main-street-animal-clinic-5172273,Main Street Animal Clinic has been proud to provide the Trussville area with the highest quality healthcare available for your pets since opening in 2003. We believe in taking the time to educate our clients and encourage everyone to take an active role in their petâ??s healthcare. The experienced staff at Main Street Animal Clinic understands that our pets are our family members and we are proud to go the extra mile to ensure top tier care and customer service. We hope you will give us the chance to form a lifelong bond with you and your four-legged family!
Standifer Animal Clinic,(205) 871-8186,,http://www.standiferanimalclinic.com,2810 19th Pl S,Birmingham,AL,35209,,,,,['Mo-Sa 07:00-18:30'],5,1,65 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/standifer-animal-clinic-472516948,"Clinic Staff Dr. Wayne Standifer DVM. Dr. Standifer is a 1982 graduate of the Auburn School of Veterinary Medicine where his father, the late, Dr. William Standifer also graduated in 1951 and founded Standifer's Animal Clinic in 1957. ""I have few memories not associated in someway to veterinary medicine and pets. Like many of our clients I have shared my life with my pets. My decades are numbered by my old dogs names. I feel honored to serve my community as a veterinarian, share in the lives of so many, and linked to the tradition of service that is Standifer's Animal Clinic Dr. Candice Adkins DVM. Dr. Adkins is originally from Eastern Kentucky. She has a B.A. degree in Biology from Pikeville College, an M.S. in Biology with an emphasis in Microbiology from Eastern Kentucky University and a D.V.M. from Auburn's College of Veterinary Medicine. After graduating from veterinary medical school, Dr. Adkins moved to Northern Ohio where she worked as a small and exotics animal practitioner at a progressive clinic. She also worked at the Akron Zoo, several wildlife organizations, and pet stores. She moved to Birmingham with her fianc (now husband), Dr. Jesse Pace in 2008. She has been practicing high quality medicine and surgery at Standifer's Animal Clinic since April 2009. Dr. Adkins enjoys working with cats, dogs, and other exotic pets. Her personal interests are camping, hiking, anything outdoors, and running. She has five pets: two dogs, Maxwell and Agent 99 (aka Squidbitty); two cats, Macy and Blue; and a guinea pig named Spackle Black Toe. Dr. Shae Hicks DVM. A native of Birmingham, Alabama, Dr. Hicks was born and raised in the small town of Gardendale, where from a very young age, she always aspired to become a veterinarian. Dr. Hicks attended Mortimer Jordan High School and worked as a veterinary technician throughout school. Following graduation she studied biology and fine art at Huntingdon College, in Montgomery, Alabama, and graduated with a Bachelor's of Fine Arts, magna cum laude. She also excelled as a four-year-starter and All-Conference setter on the Huntingdon Volleyball Team. Dr. Hicks' childhood dream was finally fulfilled when she was accepted in Auburn University's College of Veterinary Medicine. There, she participated in the student chapter of the American Veterinary Association and received the 2009 Small Animal Medicine Clinical Proficiency Award as well as the Jefferson County Veterinary Medical Association Scholarship."
Valleydale Animal Clinic,(205) 991-5416,clientcare@valleydaleanimalclinic.com,https://valleydaleanimalclinic.com,4680 Valleydale Rd,Birmingham,AL,35242,,,,,"['Mo-Fr 07:00-17:15', 'Sa 08:00-12:00', 'Su 04:00-17:00']",,,47 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/valleydale-animal-clinic-17742282,"Valleydale Animal Clinic is an AAHA-accredited, full-service vet clinic that has proudly supported pet owners in Birmingham, Hoover, Chelsea, Indian Springs and other areas of Jefferson County and Shelby County since 1976. 
 
Our staff treats you like family and each pet like our own. We are honored and proud to be a partner in your pet's healthcare team. As pet owners ourselves, we believe that preventative care with wellness exams are the keys to your pet living a longer, healthier, and happier life. 
 
As a full-service veterinary office, we offer state-of-the-art testing and diagnostics, routine and advanced surgical procedures, and many other services to provide your pet with the best possible care. We welcome new patients to our office."
Altadena Valley Animal Clinic.,(205) 967-7383,,http://www.altadenavalleyanimalclinic.com,2898 Acton Rd,Birmingham,AL,35243,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00']",4,4,8 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/altadena-valley-animal-clinic-21801197,
Caldwell Mill Animal Clinic,(205) 991-7986,info@cmacvet.com,http://www.cmacvet.com,5196 Caldwell Mill Rd,Birmingham,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-14:00', 'Su 17:00-18:00']",,,35 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/caldwell-mill-animal-clinic-1206330,"At Caldwell Mill Animal Clinic, we treat your pets like we would our own. We want your pet to look, feel and smell better when they go home than when they came in. We invite you to browse our website to learn more about us and our passion for service! Come visit us today and let you and your pet experience the difference of Caldwell Mill Animal Clinic. Our wonderful staff are always here to serve you!"
Cahaba Valley Animal Clinic,(205) 980-0078,ahorne_pm@hotmail.com,http://www.cvacvet.com,2209 Cahaba Valley Dr,Birmingham,AL,35242,,,,,"['Mo-Fr 07:00-18:30', 'Sa 08:00-14:00', 'Su 17:30-18:30']",,,33 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/cahaba-valley-animal-clinic-4771050,"Cahaba Valley Animal Clinic offers health care services for pets. The clinic specializes in the areas of preventative care, orthopedic, dental and radiology. It offers a variety of pet food items and supplies. The clinic also has an in-house pharmacy and lab to treat and diagnose your pet.  "
Hoke Animal Clinic,(205) 956-6096,greenspringsanim@yahoo.com,http://www.gsaclinic.com,1559 Cooper Hill Rd,Birmingham,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00', 'Su 15:30-17:00']",5,2,58 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hoke-animal-clinic-10538702,We're pleased to offer the following services at Green Springs Animal Clinic:   Surgery / Internal Medicine  Laser Surgery  Ultrasonography  Dentistry  Radiology  Climate Controlled Boarding/Day Care with Runs available  Grooming   Convenient Sunday Hours  Ofrecemos servicios  en Español
Advanced Veterinary Care of Vestavia,(205) 823-5433,avc.mediamarketing@gmail.com,http://www.avcov.net,2509 Rocky Ridge Rd,Birmingham,AL,35243,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-14:00', 'Su 15:00-18:00']",5,1,36 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/advanced-veterinary-care-of-vestavia-472409433,"Our top notch team at Advanced Vet Care is committed to providing our community convenient, compassionate veterinary care, with an emphasis on preventative medicine. Our Doctors, Tammy Stumpff, DVM, Dara Dickey, DVM, and Erica Hanson, DVM are licensed, experienced veterinarians with over 50 years combined experience. In addition to scheduled appointments, we offer a convenient morning drop-off service for clients which enables them to drop their pet off at AVC for medical services, and return after 5 pm to pick them up. Walk-ins and emergencies are accepted, as well. Our Doctors treat a variety of medical and surgical cases, as well as provide preventative care for our patients and education for our clients. In addition to our full service medical practice we are also equipped with a top of the line boarding facility, The Pawms, who provide a variety of services including boarding, doggie daycare, dog training and dog grooming."
Inverness Animal Clinic PC,(205) 991-2556,invernessgolf@invernessgolf.net,https://www.facebook.com/InvernessAnimalClinic/about/?entry_point=page_nav_about_item&tab=overview,4647 Highway 280,Birmingham,AL,35242,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-23:59', 'Su 05:00-18:00']",5,1,37 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/inverness-animal-clinic-pc-519566852,"The Inverness Animal Clinic is a full-service Veterinary Medical, Dental and Surgical facility offering personalized and individualized service for you and your pets. In addition, we are members of and maintain a close working relationship with a high quality emergency facility and a multi-discipline Veterinary specialty group. Appointment & drop-offs preferred. Walk-ins accepted. New clients are welcome. We are conveniently located at Inverness Parkway & Hwy 280. We want to be your neighborhood Vet."
Green Springs Animal Clinic,(205) 942-5144,,http://www.gsaclinic.com,434 Carr Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00', 'Su 15:00-17:00']",5,1,47 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/green-springs-animal-clinic-18472899,
Colbert Timothy DVM,(205) 323-1538,,,3222 6th Ave S,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/colbert-timothy-dvm-11253357,"Lakeview Pet Wellness  Vetrinary Care, Day Care & Boarding"
Nall Daniels Animal Hospital,(205) 879-3409,info@nalldaniels.com,https://nalldaniels.com,2829 Central Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-13:00']",,,72 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/nall-daniels-animal-hospital-18346953,"At Nall Daniels Animal Hospital, we never say no. Instead, we embrace the challenge and do everything we can to meet your and your pet’s needs. Our veterinarians in Homewood, AL take care of pets from all over the area, including Vestavia Hills and Birmingham. Patients benefit from the latest, best veterinary equipment, a talented staff and experienced veterinarians, and we provide services beyond that of other animal hospitals in the area. Yet we stay close to our roots, and keep to old-school, family-oriented values that make every visitor feel at home."
Total Pet Care Hospital,(205) 655-3991,tdawkinsdvm@yahoo.com,,5965 Service Rd,Birmingham,AL,35235,,,,,"['Mo-Tu 06:00-18:00', 'We 08:00-12:00', 'Th-Fr 06:00-18:00', 'Sa 08:00-12:00']",,,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/total-pet-care-hospital-8337339,Full service animal hospital
Birmingham Animal Hospital + Resort,(205) 406-6710,,https://birminghamanimalhospital.com,2316 1st Ave S,Birmingham,AL,35233,,,,,"['Mo-Fr 06:00-19:00', 'Sa 07:00-12:00', 'Su 16:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-animal-hospital-resort-572988094,"Providing Exceptional Veterinary Care, Boarding, Daycare & Grooming Services. Our caring, compassionate staff offers top-notch veterinary care, boarding, daycare & grooming in a modern, new facility. We serve cats & dogs in the greater Birmingham AL metro area: Birmingham, Homewood, Mountain Brook, Forest Park, Vestavia Hills & more"
Cat Haven Animal Clinic,(205) 252-2287,cathaven2287@att.net,,829 38th St S,Birmingham,AL,35222,,,,,"['Mo-Tu 07:30-17:00', 'We 07:30-12:00', 'Th-Fr 07:30-17:00', 'Sa 07:30-12:00']",,,23 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/cat-haven-animal-clinic-3111946,
Atlas Alvin L,(205) 991-9580,,http://riverviewanimalclinic.net,4640 Highway 280,Birmingham,AL,35242,,,,,"['Mo 07:00-18:00', 'Tu 07:00-21:00', 'We 07:00-18:00', 'Th 07:00-21:00', 'Fr 07:00-18:00', 'Sa 07:00-17:00', 'Su 13:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/atlas-alvin-l-460308124,"In operation for more than 20 years, Riverview Animal Clinic is a grooming and boarding center for small and exotic animals in Alabama. It maintains an over 10,000-square-foot facility that serves seven days a week. The clinic offers radiology, in-house blood analyzing, ultrasound and endoscopy services, as well as has an intensive care unit. Riverview Animal Clinic also operates a kennel facility that provides dayboarding, bathing and grooming services and overnight and long-term accommodations. It maintains a laboratory that conducts hematology, diagnostic ultrasonography, electrocardiography and endoscopy. The clinic additionally provides cancer treatment, behavior consultation, medical and specialty transport, and dental, inpatient and outpatient care services. It also offers the Extra Tender Loving Care program, which includes daily one-on-one playtime with camp counselors in play yards for canines and inside the boarding wards for feline and exotic animals. The facility s retail area provides pet supplies and diets, collars, leashes, cages, toys and treats."
